feeder,topology,portfolio,native_dc_share,converter_efficiency,spatial_allocations,all_ac_count,hybrid_count,root_dc_count,mean_dc_bus_fraction,mean_dc_energy_fraction,mean_loss_change_pct,median_loss_change_pct,minimum_loss_change_pct,maximum_loss_change_pct,distinct_boundary_signatures,all_ac_pct,hybrid_pct,root_dc_pct
rural,original,K2,0.0,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K2,0.0,0.98,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K2,0.0,0.99,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K2,0.25,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K2,0.25,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K2,0.25,0.98,3,2,1,0,0.07692307692307693,0.05174594834675756,-4.225739890836112,0.0,-12.677219672508338,0.0,2,66.66666666666666,33.33333333333333,0.0
rural,original,K2,0.25,0.99,3,1,2,0,0.10256410256410257,0.12167422126806382,-14.894776380339955,-17.40092184056455,-27.283407300455316,0.0,3,33.33333333333333,66.66666666666666,0.0
rural,original,K2,0.5,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K2,0.5,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K2,0.5,0.98,3,0,3,0,0.17948717948717952,0.24995304143470906,-15.097029186770909,-19.345755886782708,-20.908821093693703,-5.036510579836316,3,0.0,100.0,0.0
rural,original,K2,0.5,0.99,3,0,3,0,0.17948717948717952,0.24995304143470906,-27.114354442847027,-33.69030918636026,-38.46424314255098,-9.188510999629841,3,0.0,100.0,0.0
rural,original,K2,0.75,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K2,0.75,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K2,0.75,0.98,3,0,3,0,0.5128205128205129,0.5628545136516194,-21.002621664761303,-19.21265029536073,-24.616215136347833,-19.17899956257535,3,0.0,100.0,0.0
rural,original,K2,0.75,0.99,3,0,3,0,0.5384615384615384,0.5654456818267629,-39.10483214283901,-39.34118910047084,-42.77005247822739,-35.20325484981879,3,0.0,100.0,0.0
rural,original,K2,1.0,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K2,1.0,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K2,1.0,0.98,3,0,0,3,1.0,1.0,-34.09455322250977,-34.09455322250977,-34.09455322250977,-34.09455322250977,1,0.0,0.0,100.0
rural,original,K2,1.0,0.99,3,0,0,3,1.0,1.0,-58.31179277747025,-58.31179277747025,-58.31179277747025,-58.31179277747025,1,0.0,0.0,100.0
rural,original,K3,0.0,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K3,0.0,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K3,0.0,0.98,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K3,0.0,0.99,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K3,0.25,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K3,0.25,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K3,0.25,0.98,3,2,1,0,0.07692307692307693,0.05174594834675756,-4.275033962766178,0.0,-12.825101888298535,0.0,2,66.66666666666666,33.33333333333333,0.0
rural,original,K3,0.25,0.99,3,1,2,0,0.10256410256410257,0.12167422126806382,-15.087927579644713,-17.624208997752493,-27.63957374118165,0.0,3,33.33333333333333,66.66666666666666,0.0
rural,original,K3,0.5,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K3,0.5,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K3,0.5,0.98,3,0,3,0,0.17948717948717952,0.24995304143470906,-15.187246327521473,-19.46558025902954,-21.033913913245428,-5.062244810289454,3,0.0,100.0,0.0
rural,original,K3,0.5,0.99,3,0,3,0,0.17948717948717952,0.24995304143470906,-27.293336870170634,-33.915638968503984,-38.7190751459057,-9.245296496102227,3,0.0,100.0,0.0
rural,original,K3,0.75,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K3,0.75,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K3,0.75,0.98,3,0,3,0,0.5128205128205129,0.5628545136516194,-20.939943196367526,-19.232038429684557,-24.528377961851234,-19.059413197566784,3,0.0,100.0,0.0
rural,original,K3,0.75,0.99,3,0,3,0,0.5384615384615384,0.5654456818267629,-39.1330430737677,-39.323278742657486,-42.77256839423668,-35.30328208440893,3,0.0,100.0,0.0
rural,original,K3,1.0,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K3,1.0,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,original,K3,1.0,0.98,3,0,0,3,1.0,1.0,-34.00697109339532,-34.00697109339532,-34.00697109339532,-34.00697109339532,1,0.0,0.0,100.0
rural,original,K3,1.0,0.99,3,0,0,3,1.0,1.0,-58.31633258822432,-58.31633258822432,-58.31633258822432,-58.31633258822432,1,0.0,0.0,100.0
