value_id,value,units,scenario,uncertainty,source_file,generator,version
mean_conductor_effect_pct,-6.174442543209833,%,central/original/K3/share0.5/seed20260924/eta0.98,range across three feeders,results/central_decomposition.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
mean_hybrid_vs_ac_loss_change_pct,-11.173389291054042,%,central/original/K3/share0.5/seed20260924/eta0.98,range across three feeders,results/central_decomposition.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_architecture_summary,rural: hybrid; suburban: hybrid; urban: hybrid,text,central/original/K3/share0.5/seed20260924/eta0.98,not applicable,results/central_decomposition.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
median_validation_error_pct,1.4082432779974492,%,SimBench benchmark operating point,range across three feeders,results/validation_results.csv,acdc_boundary.validation.validate_all_ac,0.1.0
scenario_cell_count,7200,rows,full factorial,not applicable,results/scenario_results.csv,acdc_boundary.pipeline._run_scenarios,0.1.0
joint_hybrid_selected_pct,27.708333333333336,%,all hybrid-joint cells,descriptive across factorial cells,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_all_ac_selected_pct,62.291666666666664,%,all hybrid-joint cells,descriptive across factorial cells,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_root_dc_selected_pct,10.0,%,all hybrid-joint cells,descriptive across factorial cells,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
paired_loss_change_median_pct,0.0,%,"hybrid-joint versus conductor-optimized AC, all cells",factorial distribution,results/uncertainty_summary.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
paired_loss_change_q05_pct,-46.6278266467613,%,"hybrid-joint versus conductor-optimized AC, all cells",5th percentile,results/uncertainty_summary.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
paired_loss_change_q95_pct,0.0,%,"hybrid-joint versus conductor-optimized AC, all cells",95th percentile,results/uncertainty_summary.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
constraint_violation_cells,0,cells,all hybrid-joint cells,screening diagnostic,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_cell_count,1440,cells,all joint-optimization cells,not applicable,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_cells_per_efficiency,360,cells,balanced joint grid per efficiency,deterministic factorial cell count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_cells_per_native_share,288,cells,balanced joint grid per native_share,deterministic factorial cell count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_cells_per_feeder,480,cells,balanced joint grid per feeder,deterministic factorial cell count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_all_ac_selected_cells,897,cells,all joint-optimization cells,not applicable,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_hybrid_selected_cells,399,cells,all joint-optimization cells,not applicable,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_root_dc_selected_cells,144,cells,all joint-optimization cells,not applicable,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_efficiency_94_all_ac_cells,360,cells,joint cells at 94% boundary efficiency,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_efficiency_94_hybrid_cells,0,cells,joint cells at 94% boundary efficiency,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_efficiency_94_root_dc_cells,0,cells,joint cells at 94% boundary efficiency,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_efficiency_96_all_ac_cells,360,cells,joint cells at 96% boundary efficiency,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_efficiency_96_hybrid_cells,0,cells,joint cells at 96% boundary efficiency,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
