value_id,value,units,scenario,uncertainty,source_file,generator,version
joint_efficiency_96_root_dc_cells,0,cells,joint cells at 96% boundary efficiency,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_efficiency_98_all_ac_cells,93,cells,joint cells at 98% boundary efficiency,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_efficiency_98_hybrid_cells,195,cells,joint cells at 98% boundary efficiency,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_efficiency_98_root_dc_cells,72,cells,joint cells at 98% boundary efficiency,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_efficiency_99_all_ac_cells,84,cells,joint cells at 99% boundary efficiency,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_efficiency_99_hybrid_cells,204,cells,joint cells at 99% boundary efficiency,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_efficiency_99_root_dc_cells,72,cells,joint cells at 99% boundary efficiency,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_native_share_0_all_ac_cells,288,cells,joint cells at 0% native-DC annual energy,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_native_share_0_hybrid_cells,0,cells,joint cells at 0% native-DC annual energy,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_native_share_0_root_dc_cells,0,cells,joint cells at 0% native-DC annual energy,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_native_share_25_all_ac_cells,177,cells,joint cells at 25% native-DC annual energy,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_native_share_25_hybrid_cells,111,cells,joint cells at 25% native-DC annual energy,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_native_share_25_root_dc_cells,0,cells,joint cells at 25% native-DC annual energy,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_native_share_50_all_ac_cells,144,cells,joint cells at 50% native-DC annual energy,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_native_share_50_hybrid_cells,144,cells,joint cells at 50% native-DC annual energy,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_native_share_50_root_dc_cells,0,cells,joint cells at 50% native-DC annual energy,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_native_share_75_all_ac_cells,144,cells,joint cells at 75% native-DC annual energy,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_native_share_75_hybrid_cells,144,cells,joint cells at 75% native-DC annual energy,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_native_share_75_root_dc_cells,0,cells,joint cells at 75% native-DC annual energy,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_native_share_100_all_ac_cells,144,cells,joint cells at 100% native-DC annual energy,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_native_share_100_hybrid_cells,0,cells,joint cells at 100% native-DC annual energy,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_native_share_100_root_dc_cells,144,cells,joint cells at 100% native-DC annual energy,descriptive scenario-grid count,results/phase_diagram.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_repeated_outcome_group_rows,733,rows,joint outcome signatures excluding spatial seed,not applicable,results/factorial_structure.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
joint_unique_outcome_rows_excluding_seed,990,rows,joint outcome signatures excluding spatial seed,not applicable,results/factorial_structure.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
design_case_count,5,design cells,nested attribution design,declared design-cell count,results/factorial_structure.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
config_ac_voltage_line_line_v,400.0,V,frozen analysis configuration,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
config_dc_voltage_pole_to_pole_v,750.0,V,frozen analysis configuration,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
config_power_factor,0.95,p.u.,frozen analysis configuration,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
config_endpoint_efficiency,0.96,p.u.,frozen analysis configuration,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
config_converter_standby_fraction,0.002,fraction of rated power,frozen analysis configuration,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
config_material_weight,3.0,normalized objective weight,frozen analysis configuration,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
config_converter_capacity_weight,2.0,normalized objective weight,frozen analysis configuration,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
config_ampacity_limit_fraction,1.0,p.u.,frozen analysis configuration,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
config_voltage_drop_limit_pu,0.05,p.u.,frozen analysis configuration,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
config_feeders_count,3,count,frozen analysis configuration,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
config_topologies_count,2,count,frozen analysis configuration,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
config_portfolios_count,4,count,frozen analysis configuration,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
config_native_dc_shares_count,5,count,frozen analysis configuration,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
config_spatial_seeds_count,3,count,frozen analysis configuration,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
config_converter_efficiencies_count,4,count,frozen analysis configuration,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
config_conductor_scale_options_count,3,count,frozen analysis configuration,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
central_native_dc_share_pct,50.0,%,central setting,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
central_boundary_efficiency_pct,98.0,%,central setting,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
central_spatial_seed,20260924,seed,central setting,not applicable,configs/analysis_plan.yaml,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_original_inherited_ac_loss_kwh,4360.648718367322,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_original_conductor_optimized_ac_loss_kwh,4217.303402418491,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_original_fixed_conductor_hybrid_loss_kwh,3538.4652450298827,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_original_joint_hybrid_loss_kwh,3396.380823853936,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_original_electrical_ideal_hybrid_loss_kwh,143.38883408910806,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_original_conductor_contrast_pct,-3.287247499323931,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_original_fixed_design_dc_permission_contrast_pct,-18.854613761350496,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_original_joint_incremental_architecture_contrast_pct,-19.46558025902954,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_original_ideal_conversion_upper_bound_contrast_pct,-96.59998770762192,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_original_topology_sensitivity_vs_original_joint_pct,0.0,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_original_joint_dc_bus_fraction,0.15384615384615385,fraction,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_original_joint_dc_energy_fraction,0.2973106396319272,fraction,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_original_joint_boundary_count,2.0,count,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_original_joint_architecture,hybrid,text,central matched attribution cell,not applicable,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_synthetic_mst_inherited_ac_loss_kwh,4595.118655170577,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_synthetic_mst_conductor_optimized_ac_loss_kwh,4334.676198666262,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_synthetic_mst_fixed_conductor_hybrid_loss_kwh,3975.4647318485972,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_synthetic_mst_joint_hybrid_loss_kwh,3717.3965258057306,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_synthetic_mst_electrical_ideal_hybrid_loss_kwh,260.76163033687936,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_synthetic_mst_conductor_contrast_pct,-5.6678069936508875,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_synthetic_mst_fixed_design_dc_permission_contrast_pct,-13.48504728217899,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_synthetic_mst_joint_incremental_architecture_contrast_pct,-14.24050250974831,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_synthetic_mst_ideal_conversion_upper_bound_contrast_pct,-93.98428813628308,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_synthetic_mst_topology_sensitivity_vs_original_joint_pct,9.451699282282846,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_synthetic_mst_joint_dc_bus_fraction,0.15384615384615385,fraction,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_synthetic_mst_joint_dc_energy_fraction,0.22528925097048377,fraction,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_synthetic_mst_joint_boundary_count,2.0,count,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_rural_synthetic_mst_joint_architecture,hybrid,text,central matched attribution cell,not applicable,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_original_inherited_ac_loss_kwh,10070.623606682118,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_original_conductor_optimized_ac_loss_kwh,8992.580477320922,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_original_fixed_conductor_hybrid_loss_kwh,9123.498969075265,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_original_joint_hybrid_loss_kwh,8063.6715334987,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_original_electrical_ideal_hybrid_loss_kwh,590.9244260812835,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_original_conductor_contrast_pct,-10.704829923798235,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_original_fixed_design_dc_permission_contrast_pct,-9.4048261021136,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_original_joint_incremental_architecture_contrast_pct,-10.329726224468143,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_original_ideal_conversion_upper_bound_contrast_pct,-93.42875576624996,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_original_topology_sensitivity_vs_original_joint_pct,0.0,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_original_joint_dc_bus_fraction,0.07142857142857142,fraction,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_original_joint_dc_energy_fraction,0.29681650015578126,fraction,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_original_joint_boundary_count,3.0,count,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_original_joint_architecture,hybrid,text,central matched attribution cell,not applicable,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_synthetic_mst_inherited_ac_loss_kwh,12336.049656802526,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_synthetic_mst_conductor_optimized_ac_loss_kwh,10125.640843612855,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_synthetic_mst_fixed_conductor_hybrid_loss_kwh,12089.306028081455,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_synthetic_mst_joint_hybrid_loss_kwh,9888.380529566228,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_synthetic_mst_electrical_ideal_hybrid_loss_kwh,1135.888414715133,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_synthetic_mst_conductor_contrast_pct,-17.918287253089773,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_synthetic_mst_fixed_design_dc_permission_contrast_pct,-2.0001834913578533,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_synthetic_mst_joint_incremental_architecture_contrast_pct,-2.343163437366914,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_synthetic_mst_ideal_conversion_upper_bound_contrast_pct,-88.78205900980934,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_synthetic_mst_topology_sensitivity_vs_original_joint_pct,22.62876145794365,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_synthetic_mst_joint_dc_bus_fraction,0.07142857142857142,fraction,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_synthetic_mst_joint_dc_energy_fraction,0.17902184084543885,fraction,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_synthetic_mst_joint_boundary_count,3.0,count,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_suburban_synthetic_mst_joint_architecture,hybrid,text,central matched attribution cell,not applicable,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_original_inherited_ac_loss_kwh,12052.019003994177,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_original_conductor_optimized_ac_loss_kwh,11505.911867987388,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_original_fixed_conductor_hybrid_loss_kwh,11622.970669478736,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_original_joint_hybrid_loss_kwh,11077.332599287907,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_original_electrical_ideal_hybrid_loss_kwh,378.1970683324318,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_original_conductor_contrast_pct,-4.531250206507332,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_original_fixed_design_dc_permission_contrast_pct,-3.559970610511394,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_original_joint_incremental_architecture_contrast_pct,-3.724861389664442,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_original_ideal_conversion_upper_bound_contrast_pct,-96.71301959660684,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_original_topology_sensitivity_vs_original_joint_pct,0.0,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_original_joint_dc_bus_fraction,0.14035087719298245,fraction,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_original_joint_dc_energy_fraction,0.10600953055601293,fraction,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_original_joint_boundary_count,5.0,count,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_original_joint_architecture,hybrid,text,central matched attribution cell,not applicable,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_synthetic_mst_inherited_ac_loss_kwh,15245.717466821836,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_synthetic_mst_conductor_optimized_ac_loss_kwh,13101.919549693175,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_synthetic_mst_fixed_conductor_hybrid_loss_kwh,14989.128048870574,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_synthetic_mst_joint_hybrid_loss_kwh,12845.83160794933,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_synthetic_mst_electrical_ideal_hybrid_loss_kwh,1102.2354570048549,kWh/year,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_synthetic_mst_conductor_contrast_pct,-14.061640075608475,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_synthetic_mst_fixed_design_dc_permission_contrast_pct,-1.6830261908608681,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_synthetic_mst_joint_incremental_architecture_contrast_pct,-1.9545833782030948,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_synthetic_mst_ideal_conversion_upper_bound_contrast_pct,-91.58722160654186,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_synthetic_mst_topology_sensitivity_vs_original_joint_pct,15.965025811133533,%,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_synthetic_mst_joint_dc_bus_fraction,0.10526315789473684,fraction,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_synthetic_mst_joint_dc_energy_fraction,0.06559547317505755,fraction,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_synthetic_mst_joint_boundary_count,3.0,count,central matched attribution cell,descriptive modeled contrast,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
central_urban_synthetic_mst_joint_architecture,hybrid,text,central matched attribution cell,not applicable,results/feeder_attribution.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
maximum_validation_error_pct,1.958356141622169,%,SimBench benchmark operating point,range across three feeders,results/validation_results.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
validation_rural_relative_error_pct,1.1058435692372992,%,SimBench benchmark operating point,not applicable,results/validation_results.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
validation_suburban_relative_error_pct,1.958356141622169,%,SimBench benchmark operating point,not applicable,results/validation_results.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
validation_urban_relative_error_pct,1.4082432779974492,%,SimBench benchmark operating point,not applicable,results/validation_results.csv,acdc_boundary.pipeline._manuscript_values,0.1.0
