feeder,topology,portfolio,native_dc_share,seed,converter_efficiency,case,line_loss_kwh,endpoint_loss_kwh,boundary_loss_kwh,material_index,converter_capacity_kw,converter_count,max_ampacity_fraction,max_single_edge_drop_pu,total_loss_kwh,objective,dc_node_fraction,dc_energy_fraction,dc_bus_signature,boundary_signature,conductor_scale_signature,architecture,state_evaluations,transition_evaluations
rural,original,K0,0.0,20260924,0.94,all_ac_fixed,245.82831793376138,0.0,0.0,2.23882416,0.0,0,0.20820623742705804,0.003172103871710526,245.82831793376138,252.54479041376138,0.0,0.0,,,3-6:1|3-7:1|3-0:1|3-1:1|6-11:1|7-10:1|1-8:1|11-13:1|10-9:1|8-12:1|13-5:1|9-2:1|5-4:1,all-AC,14.0,13.0
rural,original,K0,0.0,20260924,0.94,all_ac_conductor,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,14.0,39.0
rural,original,K0,0.0,20260924,0.94,hybrid_fixed,245.82831793376138,0.0,0.0,2.23882416,0.0,0,0.20820623742705804,0.003172103871710526,245.82831793376138,252.54479041376138,0.0,0.0,,,3-6:1|3-7:1|3-0:1|3-1:1|6-11:1|7-10:1|1-8:1|11-13:1|10-9:1|8-12:1|13-5:1|9-2:1|5-4:1,all-AC,27.0,44.0
rural,original,K0,0.0,20260924,0.94,hybrid_joint,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0
rural,original,K0,0.0,20260924,0.94,hybrid_ideal,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0
rural,original,K0,0.0,20260924,0.96,all_ac_fixed,245.82831793376138,0.0,0.0,2.23882416,0.0,0,0.20820623742705804,0.003172103871710526,245.82831793376138,252.54479041376138,0.0,0.0,,,3-6:1|3-7:1|3-0:1|3-1:1|6-11:1|7-10:1|1-8:1|11-13:1|10-9:1|8-12:1|13-5:1|9-2:1|5-4:1,all-AC,14.0,13.0
rural,original,K0,0.0,20260924,0.96,all_ac_conductor,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,14.0,39.0
rural,original,K0,0.0,20260924,0.96,hybrid_fixed,245.82831793376138,0.0,0.0,2.23882416,0.0,0,0.20820623742705804,0.003172103871710526,245.82831793376138,252.54479041376138,0.0,0.0,,,3-6:1|3-7:1|3-0:1|3-1:1|6-11:1|7-10:1|1-8:1|11-13:1|10-9:1|8-12:1|13-5:1|9-2:1|5-4:1,all-AC,27.0,44.0
rural,original,K0,0.0,20260924,0.96,hybrid_joint,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0
rural,original,K0,0.0,20260924,0.96,hybrid_ideal,123.03728696309652,0.0,0.0,4.2578149199999995,0.0,0,0.10410311871352902,0.001586051935855263,123.03728696309652,135.81073172309652,0.0,0.0,,,3-6:2|3-7:2|3-0:2|3-1:2|6-11:2|7-10:2|1-8:1.5|11-13:2|10-9:2|8-12:1|13-5:2|9-2:2|5-4:2,all-AC,27.0,132.0
