feeder,topology,portfolio,seed,converter_efficiency,first_non_ac_native_dc_share,first_root_dc_native_dc_share,architecture_sequence,boundary_sequence
rural,original,K0,20260924,0.94,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
rural,original,K0,20260924,0.96,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
rural,original,K0,20260924,0.98,0.5,1.0,0:all-AC|0.25:all-AC|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:none|0.5:9-2|5-4|0.75:3-6|9-2|1:3-6|3-7|3-0|3-1
rural,original,K0,20260924,0.99,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:8-12|5-4|0.5:8-12|9-2|5-4|0.75:3-6|8-12|9-2|1:3-6|3-7|3-0|3-1
rural,original,K0,20260925,0.94,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
rural,original,K0,20260925,0.96,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
rural,original,K0,20260925,0.98,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:1-8|9-2|0.5:1-8|9-2|5-4|0.75:3-6|1-8|9-2|1:3-6|3-7|3-0|3-1
rural,original,K0,20260925,0.99,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:1-8|8-12|9-2|0.5:1-8|8-12|9-2|5-4|0.75:3-6|1-8|9-2|1:3-6|3-7|3-0|3-1
rural,original,K0,20260926,0.94,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
rural,original,K0,20260926,0.96,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
rural,original,K0,20260926,0.98,0.5,1.0,0:all-AC|0.25:all-AC|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:none|0.5:9-2|0.75:3-0|3-1|10-9|1:3-6|3-7|3-0|3-1
rural,original,K0,20260926,0.99,0.5,1.0,0:all-AC|0.25:all-AC|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:none|0.5:9-2|0.75:3-0|3-1|10-9|1:3-6|3-7|3-0|3-1
rural,original,K1,20260924,0.94,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
rural,original,K1,20260924,0.96,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
rural,original,K1,20260924,0.98,0.5,1.0,0:all-AC|0.25:all-AC|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:none|0.5:9-2|5-4|0.75:3-6|9-2|1:3-6|3-7|3-0|3-1
rural,original,K1,20260924,0.99,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:8-12|5-4|0.5:8-12|9-2|5-4|0.75:3-6|8-12|9-2|1:3-6|3-7|3-0|3-1
rural,original,K1,20260925,0.94,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
rural,original,K1,20260925,0.96,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
rural,original,K1,20260925,0.98,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:1-8|9-2|0.5:1-8|9-2|5-4|0.75:3-6|1-8|9-2|1:3-6|3-7|3-0|3-1
rural,original,K1,20260925,0.99,0.25,1.0,0:all-AC|0.25:hybrid|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:1-8|8-12|9-2|0.5:1-8|8-12|9-2|5-4|0.75:3-6|1-8|9-2|1:3-6|3-7|3-0|3-1
rural,original,K1,20260926,0.94,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
rural,original,K1,20260926,0.96,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
rural,original,K1,20260926,0.98,0.5,1.0,0:all-AC|0.25:all-AC|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:none|0.5:9-2|0.75:3-0|3-1|10-9|1:3-6|3-7|3-0|3-1
rural,original,K1,20260926,0.99,0.5,1.0,0:all-AC|0.25:all-AC|0.5:hybrid|0.75:hybrid|1:root-converted DC,0:none|0.25:none|0.5:9-2|0.75:3-0|3-1|10-9|1:3-6|3-7|3-0|3-1
rural,original,K2,20260924,0.94,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
rural,original,K2,20260924,0.96,,,0:all-AC|0.25:all-AC|0.5:all-AC|0.75:all-AC|1:all-AC,0:none|0.25:none|0.5:none|0.75:none|1:none
