study,doi,endogenous_ac_dc,converter_placement,topology,conductor_design,temporal_der,matched_attribution,transition_map
Ahmed et al. (2016),10.1109/TSG.2016.2608508,1,1,1,0,0,0,0
Lotfi and Khodaei (2017),10.1016/j.energy.2016.12.015,1,1,1,0,1,1,0
Wu et al. (2019),10.3390/en12091751,1,1,1,0,1,0,0
Zhang et al. (2022),10.1109/TSG.2021.3102615,1,1,1,0,1,0,1
de Barros et al. (2023),10.1109/TPWRD.2023.3277089,1,1,1,1,0,0,0
Wang et al. (2022),10.1016/j.apenergy.2022.119438,1,1,1,1,1,0,1
This study,,1,1,1,1,1,1,1
