dataset_id,publisher,url,version,retrieved_utc,retrieval_conditions,license,redistribution,local_path,bytes,sha256,verified
simbench-1.6.1-wheel,PyPI / SimBench consortium,https://files.pythonhosted.org/packages/fc/fa/d30a9ba570eb05c4013712b6b1e4eaef411c5c486e07637a6d2380617c2e/simbench-1.6.1-py3-none-any.whl,1.6.1,2026-09-24T06:55:37+00:00,complete object; HTTPS GET; no pagination,ODbL-1.0 database; BSD-3-Clause code,allowed with license and attribution,data_raw/simbench/1.6.1/simbench-1.6.1-py3-none-any.whl,90966482,f1d8c879cc35bca17552ac6fd0ea95e9097bc0300f61d66f13eb1d755017a763,True
ev-charging-22495141-v1,figshare,https://ndownloader.figshare.com/files/39952252,10.6084/m9.figshare.22495141.v1,2026-09-24T06:55:39+00:00,complete object; HTTPS GET; no pagination,CC BY 4.0,allowed with attribution,data_raw/ev_charging/22495141_v1/ChargingRecords.csv,7605859,d541259bed55e2a9bc3413756954e7a059b50f9c9031f1dfc6ec87cbf3afd358,True
