feeder,topology,portfolio,median_loss_change_pct,q05_loss_change_pct,q95_loss_change_pct,mean_dc_node_fraction
rural,original,K0,0.0,-44.90459711019222,0.0,0.1794871794871795
rural,original,K1,0.0,-42.54988883722949,0.0,0.1794871794871795
rural,original,K2,0.0,-43.54713949318953,0.0,0.1794871794871795
rural,original,K3,0.0,-43.54975660393606,0.0,0.1794871794871795
rural,synthetic_mst,K0,0.0,-36.90101359563968,0.0,0.1846153846153846
rural,synthetic_mst,K1,0.0,-34.19406359081943,0.0,0.1705128205128205
rural,synthetic_mst,K2,0.0,-35.53019100657889,0.0,0.1769230769230769
rural,synthetic_mst,K3,0.0,-35.409692505771574,0.0,0.1769230769230769
suburban,original,K0,0.0,-45.41563966566126,0.0,0.15476190476190474
suburban,original,K1,0.0,-43.11346243898503,0.0,0.15476190476190474
suburban,original,K2,0.0,-43.3217630338598,0.0,0.15476190476190474
suburban,original,K3,0.0,-43.81554566548098,0.0,0.15476190476190474
suburban,synthetic_mst,K0,0.0,-40.66781178532053,0.0,0.16547619047619047
suburban,synthetic_mst,K1,0.0,-38.744434094248945,0.0,0.16507936507936508
suburban,synthetic_mst,K2,0.0,-39.96042918316168,0.0,0.16547619047619047
suburban,synthetic_mst,K3,0.0,-39.703747622059126,0.0,0.16547619047619047
urban,original,K0,0.0,-46.784710953425574,0.0,0.17163742690058478
urban,original,K1,0.0,-44.208895971021576,0.0,0.17076023391812864
urban,original,K2,0.0,-44.1010813154707,0.0,0.17163742690058478
urban,original,K3,0.0,-44.87188427562154,0.0,0.17163742690058478
urban,synthetic_mst,K0,0.0,-39.363019065913484,0.0,0.17894736842105263
urban,synthetic_mst,K1,0.0,-36.66597065346188,0.0,0.17690058479532164
urban,synthetic_mst,K2,0.0,-37.54338177790346,0.0,0.17894736842105263
urban,synthetic_mst,K3,0.0,-37.36972709836791,0.0,0.17690058479532164
