feeder,topology,nodes,edges,repeats,median_runtime_ms,minimum_runtime_ms,maximum_runtime_ms,state_evaluations,transition_evaluations
rural,original,14,13,30,0.3162624999788477,0.310533000003943,0.4953019999902608,27,132
rural,synthetic_mst,14,13,30,0.3437969999993129,0.3356670000016493,0.5280070000139858,27,150
suburban,original,43,42,30,1.099277999998094,1.072637999982362,1.9826179999995475,85,486
suburban,synthetic_mst,43,42,30,1.1328045000027487,1.0870510000131617,1.8471920000138198,85,498
urban,original,58,57,30,1.4498430000173812,1.4241389999938292,2.758733000007396,115,642
urban,synthetic_mst,58,57,30,1.488093999995499,1.4669530000332998,1.6940080000154012,115,678
