feeder,topology,inherited_ac_loss_kwh,conductor_optimized_ac_loss_kwh,fixed_conductor_hybrid_loss_kwh,joint_hybrid_loss_kwh,electrical_ideal_hybrid_loss_kwh,conductor_contrast_pct,fixed_design_dc_permission_contrast_pct,joint_incremental_architecture_contrast_pct,ideal_conversion_upper_bound_contrast_pct,joint_architecture,joint_dc_bus_fraction,joint_dc_energy_fraction,joint_boundary_count,joint_boundary_signature,joint_objective,joint_material_index,joint_converter_capacity_kw,topology_sensitivity_vs_original_joint_pct
rural,original,4360.648718367322,4217.303402418491,3538.4652450298827,3396.380823853936,143.38883408910806,-3.287247499323931,-18.854613761350496,-19.46558025902954,-96.59998770762192,hybrid,0.15384615384615385,0.2973106396319272,2,9-2|5-4,3456.431489593936,4.17688858,23.76,0.0
rural,synthetic_mst,4595.118655170577,4334.676198666262,3975.4647318485972,3717.3965258057306,260.76163033687936,-5.6678069936508875,-13.48504728217899,-14.24050250974831,-93.98428813628308,hybrid,0.15384615384615385,0.22528925097048377,2,6-7|5-4,3760.8596357037295,2.247703299333064,18.36,9.451699282282846
suburban,original,10070.623606682118,8992.580477320922,9123.498969075265,8063.6715334987,590.9244260812835,-10.704829923798235,-9.4048261021136,-10.329726224468143,-93.42875576624996,hybrid,0.07142857142857142,0.29681650015578126,3,37-40|38-39|41-42,8195.4297711547,5.469670151999999,57.674613599999994,0.0
suburban,synthetic_mst,12336.049656802526,10125.640843612855,12089.306028081455,9888.380529566228,1135.888414715133,-17.918287253089773,-2.0001834913578533,-2.343163437366914,-88.78205900980934,hybrid,0.07142857142857142,0.17902184084543885,3,38-39|7-20|41-42,9987.884183362778,4.9260998788500645,42.36267708,22.62876145794365
urban,original,12052.019003994177,11505.911867987388,11622.970669478736,11077.332599287907,378.1970683324318,-4.531250206507332,-3.559970610511394,-3.724861389664442,-96.71301959660684,hybrid,0.14035087719298245,0.10600953055601293,5,9-4|16-26|12-45|23-14|42-41,11184.330612925907,6.846694866,43.228964520000005,0.0
urban,synthetic_mst,15245.717466821836,13101.919549693175,14989.128048870574,12845.83160794933,1102.2354570048549,-14.061640075608475,-1.6830261908608681,-1.9545833782030948,-91.58722160654186,hybrid,0.10526315789473684,0.06559547317505755,3,12-20|42-41|23-14,12918.546400259454,6.062610023374924,27.26348112,15.965025811133533
