ablation,feeder,topology,portfolio,cells,all_ac_pct,hybrid_pct,root_dc_pct,mean_dc_bus_fraction,mean_dc_energy_fraction,mean_boundary_count,mean_loss_change_pct,architecture_change_pct,boundary_change_pct,mean_loss_contrast_change_pct_points
baseline,rural,original,K0,60,65.0,25.0,10.0,0.1794871794871795,0.19008132239813108,1.0333333333333334,-11.154812705222605,0.0,0.0,0.0
baseline,rural,original,K1,60,65.0,25.0,10.0,0.1794871794871795,0.19008132239813108,1.0333333333333334,-10.404581905846241,0.0,0.0,0.0
baseline,rural,original,K2,60,65.0,25.0,10.0,0.1794871794871795,0.19008132239813108,1.0333333333333334,-10.692284985418716,0.0,0.0,0.0
baseline,rural,original,K3,60,65.0,25.0,10.0,0.1794871794871795,0.19008132239813108,1.0333333333333334,-10.711991734592893,0.0,0.0,0.0
baseline,rural,synthetic_mst,K0,60,60.0,30.0,10.0,0.1846153846153846,0.1774532767291624,0.8166666666666667,-9.567496173463,0.0,0.0,0.0
baseline,rural,synthetic_mst,K1,60,61.66666666666667,28.333333333333332,10.0,0.1705128205128205,0.17014384052727308,0.7333333333333333,-8.841175528465767,0.0,0.0,0.0
baseline,rural,synthetic_mst,K2,60,60.0,30.0,10.0,0.1769230769230769,0.17143587654448683,0.8166666666666667,-9.081560895391004,0.0,0.0,0.0
baseline,rural,synthetic_mst,K3,60,60.0,30.0,10.0,0.1769230769230769,0.17143587654448683,0.8166666666666667,-9.120586763702647,0.0,0.0,0.0
baseline,suburban,original,K0,60,65.0,25.0,10.0,0.15476190476190474,0.19054625503300465,1.0666666666666667,-10.718614034117874,0.0,0.0,0.0
baseline,suburban,original,K1,60,65.0,25.0,10.0,0.15476190476190474,0.19054625503300465,1.0666666666666667,-9.960731025698594,0.0,0.0,0.0
baseline,suburban,original,K2,60,65.0,25.0,10.0,0.15476190476190474,0.19054625503300465,1.0666666666666667,-10.146717208938941,0.0,0.0,0.0
baseline,suburban,original,K3,60,65.0,25.0,10.0,0.15476190476190474,0.19054625503300465,1.0666666666666667,-10.23314375902417,0.0,0.0,0.0
baseline,suburban,synthetic_mst,K0,60,63.33333333333333,26.666666666666668,10.0,0.16547619047619047,0.18006457206131424,0.8666666666666667,-8.816315040874072,0.0,0.0,0.0
baseline,suburban,synthetic_mst,K1,60,63.33333333333333,26.666666666666668,10.0,0.16507936507936508,0.1799005467492866,0.85,-8.175820241456345,0.0,0.0,0.0
baseline,suburban,synthetic_mst,K2,60,63.33333333333333,26.666666666666668,10.0,0.16547619047619047,0.18006457206131424,0.8666666666666667,-8.322934326699324,0.0,0.0,0.0
baseline,suburban,synthetic_mst,K3,60,63.33333333333333,26.666666666666668,10.0,0.16547619047619047,0.18006457206131424,0.8666666666666667,-8.400833258655041,0.0,0.0,0.0
baseline,urban,original,K0,60,60.0,30.0,10.0,0.17163742690058478,0.19509968872719935,2.1166666666666667,-11.104710022533045,0.0,0.0,0.0
